bucket,test_txns,positives,caught_in_topK,median_score,recall_pct,pct_of_all_positives
0-7d (new),546069,4,4,0.9685596095823306,100.0,0.14
8-30d,1891,4,3,0.9988620766166729,75.0,0.14
31-90d,12329,24,21,0.9988261383261934,87.5,0.85
91-180d,40728,152,130,0.996731073967885,85.53,5.36
>180d (established),1855047,2653,2322,0.9972719912104244,87.52,93.51
